,code,name,is_exist
1050,1168011500,서울특별시 강남구 수서동,존재
1053,1168011800,서울특별시 강남구 도곡동,존재
1072,1171000000,서울특별시 송파구,존재
1073,1171010100,서울특별시 송파구 잠실동,존재
1074,1171010200,서울특별시 송파구 신천동,존재
1075,1171010300,서울특별시 송파구 풍납동,존재
1076,1171010400,서울특별시 송파구 송파동,존재
1077,1171010500,서울특별시 송파구 석촌동,존재
1078,1171010600,서울특별시 송파구 삼전동,존재
1079,1171010700,서울특별시 송파구 가락동,존재
1080,1171010800,서울특별시 송파구 문정동,존재
1081,1171010900,서울특별시 송파구 장지동,존재
1083,1171011100,서울특별시 송파구 방이동,존재
1084,1171011200,서울특별시 송파구 오금동,존재
1085,1171011300,서울특별시 송파구 거여동,존재
1086,1171011400,서울특별시 송파구 마천동,존재
1087,1174000000,서울특별시 강동구,존재
1102,1174010100,서울특별시 강동구 명일동,존재
1103,1174010200,서울특별시 강동구 고덕동,존재
1104,1174010300,서울특별시 강동구 상일동,존재
1106,1174010500,서울특별시 강동구 길동,존재
1107,1174010600,서울특별시 강동구 둔촌동,존재
1108,1174010700,서울특별시 강동구 암사동,존재
1109,1174010800,서울특별시 강동구 성내동,존재
1110,1174010900,서울특별시 강동구 천호동,존재
1111,1174011000,서울특별시 강동구 강일동,존재
2615,2600000000,부산광역시,존재
2616,2611000000,부산광역시 중구,존재
2617,2611010100,부산광역시 중구 영주동,존재
2618,2611010200,부산광역시 중구 대창동1가,존재
2619,2611010300,부산광역시 중구 대창동2가,존재
2620,2611010400,부산광역시 중구 중앙동1가,존재
2621,2611010500,부산광역시 중구 중앙동2가,존재
2622,2611010600,부산광역시 중구 중앙동3가,존재
2623,2611010700,부산광역시 중구 중앙동4가,존재
2624,2611010800,부산광역시 중구 중앙동5가,존재
2625,2611010900,부산광역시 중구 중앙동6가,존재
2626,2611011000,부산광역시 중구 중앙동7가,존재
2627,2611011100,부산광역시 중구 동광동1가,존재
2628,2611011200,부산광역시 중구 동광동2가,존재
2629,2611011300,부산광역시 중구 동광동3가,존재
2630,2611011400,부산광역시 중구 동광동4가,존재
2631,2611011500,부산광역시 중구 동광동5가,존재
2632,2611011600,부산광역시 중구 대청동1가,존재
2633,2611011700,부산광역시 중구 대청동2가,존재
2634,2611011800,부산광역시 중구 대청동3가,존재
2635,2611011900,부산광역시 중구 대청동4가,존재
2636,2611012000,부산광역시 중구 보수동1가,존재
2637,2611012100,부산광역시 중구 보수동2가,존재
2638,2611012200,부산광역시 중구 보수동3가,존재
2639,2611012300,부산광역시 중구 부평동1가,존재
2640,2611012400,부산광역시 중구 부평동2가,존재
2641,2611012500,부산광역시 중구 부평동3가,존재
2642,2611012600,부산광역시 중구 부평동4가,존재
2643,2611012700,부산광역시 중구 신창동1가,존재
2644,2611012800,부산광역시 중구 신창동2가,존재
2645,2611012900,부산광역시 중구 신창동3가,존재
2646,2611013000,부산광역시 중구 신창동4가,존재
2647,2611013100,부산광역시 중구 창선동1가,존재
2648,2611013200,부산광역시 중구 창선동2가,존재
2649,2611013300,부산광역시 중구 광복동1가,존재
2650,2611013400,부산광역시 중구 광복동2가,존재
2651,2611013500,부산광역시 중구 광복동3가,존재
2652,2611013600,부산광역시 중구 남포동1가,존재
2653,2611013700,부산광역시 중구 남포동2가,존재
2654,2611013800,부산광역시 중구 남포동3가,존재
2655,2611013900,부산광역시 중구 남포동4가,존재
2656,2611014000,부산광역시 중구 남포동5가,존재
2657,2611014100,부산광역시 중구 남포동6가,존재
2658,2614000000,부산광역시 서구,존재
2659,2614010100,부산광역시 서구 동대신동1가,존재
2660,2614010200,부산광역시 서구 동대신동2가,존재
2661,2614010300,부산광역시 서구 동대신동3가,존재
2662,2614010400,부산광역시 서구 서대신동1가,존재
